booking_record_id,date,time,booking_id,booking_status,customer_id,vehicle_type,pickup_location,drop_location,avg_vtat,avg_ctat,cancelled_rides_by_customer,reason_for_cancelling_by_customer,cancelled_rides_by_driver,driver_cancellation_reason,incomplete_rides,incomplete_rides_reason,booking_value,ride_distance,driver_ratings,customer_rating,payment_method,booking_value_missing_unexpected,ride_distance_missing_unexpected,payment_method_missing_unexpected,customer_cancel_reason_missing,driver_cancel_reason_missing,incomplete_reason_missing,invalid_booking_status,invalid_booking_value,invalid_ride_distance,invalid_driver_rating,invalid_customer_rating,revenue_per_km,booking_value_outlier,ride_distance_outlier,avg_vtat_outlier,avg_ctat_outlier,revenue_per_km_outlier
296,2024-12-06,16:09:31,"""CNR6577172""",Incomplete,"""CID5963264""",Premier Sedan,Preet Vihar,Mehrauli,3.6,27.7,,,,,1.0,Other Issue,627.0,3.74,,,Uber Wallet,False,False,False,False,False,False,False,False,False,False,False,167.6470588235294,False,False,False,False,True
298,2024-05-09,17:14:18,"""CNR1531092""",Completed,"""CID7911273""",Go Mini,Kanhaiya Nagar,Satguru Ram Singh Marg,12.1,33.6,,,,,,,940.0,5.04,4.6,4.6,Credit Card,False,False,False,False,False,False,False,False,False,False,False,186.5079365079365,False,False,False,False,True
316,2024-05-18,06:30:30,"""CNR2415257""",Completed,"""CID6909825""",Premier Sedan,Lajpat Nagar,Rohini,12.4,21.6,,,,,,,788.0,4.26,4.2,4.5,UPI,False,False,False,False,False,False,False,False,False,False,False,184.97652582159625,False,False,False,False,True
325,2024-11-27,08:10:57,"""CNR5503992""",Completed,"""CID3215242""",Premier Sedan,Malviya Nagar,Nehru Place,3.1,44.8,,,,,,,355.0,4.08,4.7,3.1,Cash,False,False,False,False,False,False,False,False,False,False,False,87.00980392156863,False,False,False,False,True
345,2024-07-13,20:13:00,"""CNR7438691""",Completed,"""CID6640597""",Uber XL,Tis Hazari,Noida Film City,4.7,34.8,,,,,,,509.0,4.01,4.3,4.9,Cash,False,False,False,False,False,False,False,False,False,False,False,126.93266832917706,False,False,False,False,True
381,2024-04-30,11:35:16,"""CNR8349332""",Completed,"""CID1895189""",Bike,Saket,Rohini,6.6,19.1,,,,,,,606.0,5.75,4.2,4.6,UPI,False,False,False,False,False,False,False,False,False,False,False,105.3913043478261,False,False,False,False,True
393,2024-12-30,17:45:30,"""CNR1090037""",Completed,"""CID2369298""",Bike,Ashok Vihar,Rohini,7.6,41.6,,,,,,,821.0,3.86,3.7,4.9,Uber Wallet,False,False,False,False,False,False,False,False,False,False,False,212.69430051813472,False,False,False,False,True
403,2024-02-14,14:46:37,"""CNR9159821""",Completed,"""CID7212119""",Go Sedan,Saket A Block,Gurgaon Railway Station,4.8,24.7,,,,,,,1523.0,6.84,4.0,4.3,UPI,False,False,False,False,False,False,False,False,False,False,False,222.6608187134503,True,False,False,False,True
419,2024-10-19,10:43:36,"""CNR8081487""",Completed,"""CID1030753""",Premier Sedan,Mehrauli,Rithala,7.4,20.6,,,,,,,1563.0,8.86,4.7,4.6,Cash,False,False,False,False,False,False,False,False,False,False,False,176.41083521444696,True,False,False,False,True
430,2024-12-21,20:12:48,"""CNR1559285""",Completed,"""CID2693633""",Auto,Pragati Maidan,Ashok Vihar,6.2,20.6,,,,,,,1596.0,38.53,4.6,4.5,Debit Card,False,False,False,False,False,False,False,False,False,False,False,41.42226836231508,True,False,False,False,False
455,2024-03-30,13:43:56,"""CNR5804680""",Completed,"""CID5921510""",Premier Sedan,Malviya Nagar,Sadar Bazar Gurgaon,7.4,28.7,,,,,,,420.0,4.5,4.6,4.2,UPI,False,False,False,False,False,False,False,False,False,False,False,93.33333333333333,False,False,False,False,True
475,2024-01-21,18:10:37,"""CNR9895668""",Completed,"""CID2656518""",Go Sedan,Yamuna Bank,Jahangirpuri,2.1,21.2,,,,,,,485.0,2.17,3.2,4.1,UPI,False,False,False,False,False,False,False,False,False,False,False,223.50230414746545,False,False,False,False,True
523,2024-07-27,19:05:27,"""CNR1456049""",Completed,"""CID5722305""",Go Sedan,Peeragarhi,Pulbangash,2.9,30.1,,,,,,,412.0,2.69,4.8,3.7,Debit Card,False,False,False,False,False,False,False,False,False,False,False,153.15985130111525,False,False,False,False,True
529,2024-12-22,04:40:50,"""CNR9086694""",Completed,"""CID1564650""",Auto,Jahangirpuri,Rohini,9.7,31.7,,,,,,,651.0,7.7,4.3,3.9,Uber Wallet,False,False,False,False,False,False,False,False,False,False,False,84.54545454545455,False,False,False,False,True
542,2024-11-11,20:06:27,"""CNR2199295""",Completed,"""CID4892084""",Go Sedan,Madipur,Tagore Garden,5.4,16.8,,,,,,,392.0,2.09,3.4,4.9,UPI,False,False,False,False,False,False,False,False,False,False,False,187.5598086124402,False,False,False,False,True
557,2024-07-15,06:30:07,"""CNR1604843""",Completed,"""CID3650524""",Go Sedan,Satguru Ram Singh Marg,Sushant Lok,15.0,44.5,,,,,,,476.0,4.96,4.4,4.4,Cash,False,False,False,False,False,False,False,False,False,False,False,95.96774193548387,False,False,False,False,True
562,2024-03-15,16:38:52,"""CNR7698052""",Completed,"""CID7071135""",Go Sedan,Chandni Chowk,IFFCO Chowk,4.3,23.6,,,,,,,1727.0,46.07,5.0,4.4,Credit Card,False,False,False,False,False,False,False,False,False,False,False,37.48643368786629,True,False,False,False,False
574,2024-12-01,18:58:47,"""CNR3300635""",Completed,"""CID8726709""",Auto,Sushant Lok,Botanical Garden,6.7,31.3,,,,,,,1764.0,32.47,4.3,4.1,Cash,False,False,False,False,False,False,False,False,False,False,False,54.32707114259316,True,False,False,False,False
598,2024-08-01,06:12:54,"""CNR9843847""",Completed,"""CID6799716""",Go Sedan,Ramesh Nagar,Jasola,9.8,43.5,,,,,,,875.0,6.58,4.7,4.3,UPI,False,False,False,False,False,False,False,False,False,False,False,132.9787234042553,False,False,False,False,True
609,2024-08-08,21:15:02,"""CNR1557346""",Incomplete,"""CID3922737""",Auto,Indraprastha,Gurgaon Sector 56,8.9,21.2,,,,,1.0,Other Issue,953.0,4.6,,,UPI,False,False,False,False,False,False,False,False,False,False,False,207.17391304347828,False,False,False,False,True
617,2024-05-25,16:59:49,"""CNR1014047""",Completed,"""CID5187884""",Go Mini,Peeragarhi,Patel Chowk,2.7,26.3,,,,,,,477.0,2.65,4.3,4.4,UPI,False,False,False,False,False,False,False,False,False,False,False,180.0,False,False,False,False,True
621,2024-03-08,21:05:15,"""CNR4201157""",Incomplete,"""CID9760707""",Auto,Kaushambi,Pitampura,3.6,21.9,,,,,1.0,Vehicle Breakdown,698.0,5.11,,,Debit Card,False,False,False,False,False,False,False,False,False,False,False,136.59491193737767,False,False,False,False,True
622,2024-03-18,12:12:23,"""CNR2269173""",Completed,"""CID3033035""",Bike,Samaypur Badli,Paschim Vihar,4.6,22.7,,,,,,,2145.0,35.76,4.3,4.5,Debit Card,False,False,False,False,False,False,False,False,False,False,False,59.98322147651007,True,False,False,False,False
641,2024-01-14,10:49:23,"""CNR9153217""",Completed,"""CID4641211""",Auto,Dilshad Garden,Rajiv Nagar,13.7,19.7,,,,,,,824.0,2.38,4.0,4.7,UPI,False,False,False,False,False,False,False,False,False,False,False,346.218487394958,False,False,False,False,True
643,2024-03-15,05:14:49,"""CNR9244093""",Completed,"""CID2684363""",Go Sedan,RK Puram,Delhi Gate,7.6,19.8,,,,,,,752.0,3.59,3.1,4.2,Uber Wallet,False,False,False,False,False,False,False,False,False,False,False,209.4707520891365,False,False,False,False,True
653,2024-11-16,01:13:00,"""CNR4753901""",Completed,"""CID5097394""",Auto,Delhi Gate,Preet Vihar,14.9,16.9,,,,,,,1428.0,42.45,4.4,4.2,Uber Wallet,False,False,False,False,False,False,False,False,False,False,False,33.639575971731446,True,False,False,False,False
669,2024-09-21,06:00:16,"""CNR4173313""",Completed,"""CID3059204""",Auto,Kalkaji,Model Town,13.2,32.6,,,,,,,865.0,3.77,4.1,4.4,UPI,False,False,False,False,False,False,False,False,False,False,False,229.44297082228115,False,False,False,False,True
672,2024-11-10,17:33:35,"""CNR2790295""",Incomplete,"""CID1412150""",Auto,Bhikaji Cama Place,RK Puram,4.6,17.2,,,,,1.0,Vehicle Breakdown,545.0,1.67,,,UPI,False,False,False,False,False,False,False,False,False,False,False,326.34730538922156,False,False,False,False,True
676,2024-08-18,17:40:11,"""CNR3654081""",Completed,"""CID2244993""",Go Mini,Green Park,Khan Market,2.1,19.7,,,,,,,1595.0,42.13,4.4,4.4,UPI,False,False,False,False,False,False,False,False,False,False,False,37.85900783289817,True,False,False,False,False
683,2024-02-11,21:11:22,"""CNR2445755""",Incomplete,"""CID9195579""",Auto,Manesar,AIIMS,10.0,28.9,,,,,1.0,Customer Demand,545.0,6.09,,,UPI,False,False,False,False,False,False,False,False,False,False,False,89.49096880131363,False,False,False,False,True
685,2024-03-31,21:13:34,"""CNR1203467""",Incomplete,"""CID6344325""",Auto,Subhash Nagar,Greater Noida,3.2,16.5,,,,,1.0,Vehicle Breakdown,1383.0,5.41,,,UPI,False,False,False,False,False,False,False,False,False,False,False,255.63770794824399,True,False,False,False,True
695,2024-11-08,09:17:03,"""CNR6566275""",Completed,"""CID2823911""",Go Sedan,Civil Lines Gurgaon,Kirti Nagar,14.0,24.3,,,,,,,1614.0,34.5,4.3,4.3,Debit Card,False,False,False,False,False,False,False,False,False,False,False,46.78260869565217,True,False,False,False,False
709,2024-03-24,08:03:46,"""CNR3219966""",Incomplete,"""CID1752407""",Go Mini,Keshav Puram,Kashmere Gate,8.0,16.9,,,,,1.0,Other Issue,1682.0,7.6,,,Debit Card,False,False,False,False,False,False,False,False,False,False,False,221.31578947368422,True,False,False,False,True
741,2024-07-25,08:55:47,"""CNR7353983""",Completed,"""CID2934266""",Bike,Jor Bagh,Noida Sector 18,12.3,37.9,,,,,,,1940.0,27.6,4.1,4.3,Cash,False,False,False,False,False,False,False,False,False,False,False,70.28985507246377,True,False,False,False,False
745,2024-12-30,19:59:22,"""CNR7321457""",Completed,"""CID2601371""",Go Mini,Yamuna Bank,Madipur,3.2,34.4,,,,,,,791.0,6.07,4.1,4.0,Credit Card,False,False,False,False,False,False,False,False,False,False,False,130.31301482701812,False,False,False,False,True
750,2024-02-03,02:53:22,"""CNR4316002""",Completed,"""CID1378252""",Premier Sedan,Hero Honda Chowk,Welcome,10.9,37.7,,,,,,,1350.0,11.48,4.5,4.9,Uber Wallet,False,False,False,False,False,False,False,False,False,False,False,117.595818815331,False,False,False,False,True
766,2024-03-23,05:30:31,"""CNR7693001""",Completed,"""CID3162922""",Go Sedan,Ashram,Manesar,6.7,32.9,,,,,,,759.0,7.37,4.6,4.2,Debit Card,False,False,False,False,False,False,False,False,False,False,False,102.98507462686567,False,False,False,False,True
788,2024-12-06,22:19:58,"""CNR7499719""",Incomplete,"""CID7731156""",Go Mini,Shastri Park,Raj Nagar Extension,8.8,20.8,,,,,1.0,Customer Demand,483.0,3.88,,,Uber Wallet,False,False,False,False,False,False,False,False,False,False,False,124.48453608247424,False,False,False,False,True
790,2024-11-30,20:25:20,"""CNR8016519""",Completed,"""CID6857817""",Go Mini,Satguru Ram Singh Marg,Govindpuri,5.2,18.7,,,,,,,1117.0,7.03,3.7,4.7,UPI,False,False,False,False,False,False,False,False,False,False,False,158.8904694167852,False,False,False,False,True
798,2024-05-08,11:33:08,"""CNR2349802""",Completed,"""CID9824071""",Auto,Indraprastha,IFFCO Chowk,2.6,21.6,,,,,,,994.0,7.78,4.1,4.2,Credit Card,False,False,False,False,False,False,False,False,False,False,False,127.76349614395886,False,False,False,False,True
810,2024-01-28,11:18:30,"""CNR8002052""",Completed,"""CID4254414""",Auto,Kalkaji,Jahangirpuri,13.7,29.0,,,,,,,1311.0,8.24,4.2,4.1,UPI,False,False,False,False,False,False,False,False,False,False,False,159.10194174757282,False,False,False,False,True
820,2024-07-24,04:03:30,"""CNR4378110""",Completed,"""CID5808772""",Premier Sedan,Tughlakabad,Sultanpur,3.6,34.2,,,,,,,827.0,9.44,3.9,5.0,Uber Wallet,False,False,False,False,False,False,False,False,False,False,False,87.60593220338984,False,False,False,False,True
861,2024-03-18,23:04:36,"""CNR4394990""",Completed,"""CID2820306""",Auto,Udyog Vihar,Tughlakabad,6.7,29.4,,,,,,,693.0,3.81,4.3,4.6,UPI,False,False,False,False,False,False,False,False,False,False,False,181.88976377952756,False,False,False,False,True
876,2024-01-26,07:33:52,"""CNR6083000""",Completed,"""CID6880325""",eBike,Mansarovar Park,Malviya Nagar,12.1,15.2,,,,,,,327.0,3.18,4.3,4.6,UPI,False,False,False,False,False,False,False,False,False,False,False,102.83018867924528,False,False,False,False,True
888,2024-08-02,18:19:05,"""CNR8659466""",Completed,"""CID9420538""",Go Mini,Palam Vihar,Karol Bagh,12.3,27.2,,,,,,,959.0,9.54,3.7,3.3,UPI,False,False,False,False,False,False,False,False,False,False,False,100.52410901467506,False,False,False,False,True
919,2024-07-02,09:45:20,"""CNR4382741""",Completed,"""CID3149458""",eBike,Ghaziabad,Sonipat,2.9,32.5,,,,,,,1531.0,18.37,4.3,4.2,Uber Wallet,False,False,False,False,False,False,False,False,False,False,False,83.34240609689711,True,False,False,False,False
929,2024-03-10,22:50:44,"""CNR4504689""",Incomplete,"""CID8860496""",Go Mini,Kashmere Gate ISBT,Nirman Vihar,8.3,20.2,,,,,1.0,Vehicle Breakdown,1247.0,11.31,,,Debit Card,False,False,False,False,False,False,False,False,False,False,False,110.25641025641025,False,False,False,False,True
932,2024-07-13,20:22:49,"""CNR2988566""",Completed,"""CID9899554""",Go Mini,Moolchand,Gurgaon Sector 56,11.5,22.5,,,,,,,2908.0,23.65,4.2,5.0,Debit Card,False,False,False,False,False,False,False,False,False,False,False,122.95983086680762,True,False,False,False,True
939,2024-08-30,10:03:42,"""CNR6911961""",Incomplete,"""CID7777597""",Auto,Subhash Nagar,Narsinghpur,9.9,19.6,,,,,1.0,Customer Demand,874.0,3.25,,,Uber Wallet,False,False,False,False,False,False,False,False,False,False,False,268.9230769230769,False,False,False,False,True
964,2024-01-08,19:01:09,"""CNR3474101""",Incomplete,"""CID4158599""",Bike,Tilak Nagar,Botanical Garden,4.6,14.0,,,,,1.0,Vehicle Breakdown,682.0,1.24,,,Cash,False,False,False,False,False,False,False,False,False,False,False,550.0,False,False,False,False,True
1025,2024-05-05,11:59:18,"""CNR8615096""",Incomplete,"""CID7151907""",eBike,Civil Lines Gurgaon,Model Town,9.9,22.9,,,,,1.0,Customer Demand,685.0,2.14,,,UPI,False,False,False,False,False,False,False,False,False,False,False,320.0934579439252,False,False,False,False,True
1032,2024-03-23,14:27:16,"""CNR1980663""",Completed,"""CID1578122""",Go Sedan,Jama Masjid,Samaypur Badli,13.7,33.1,,,,,,,1124.0,5.28,4.2,3.8,UPI,False,False,False,False,False,False,False,False,False,False,False,212.87878787878788,False,False,False,False,True
1033,2024-06-15,04:43:29,"""CNR3375175""",Completed,"""CID4579736""",Auto,Paschim Vihar,Maidan Garhi,5.5,29.7,,,,,,,1628.0,48.93,3.7,4.5,UPI,False,False,False,False,False,False,False,False,False,False,False,33.272021254853875,True,False,False,False,False
1039,2024-01-20,16:43:10,"""CNR4095574""",Completed,"""CID3649587""",Go Mini,Udyog Bhawan,Karol Bagh,6.7,27.6,,,,,,,3250.0,38.13,4.2,4.5,UPI,False,False,False,False,False,False,False,False,False,False,False,85.23472331497508,True,False,False,False,True
1065,2024-07-05,03:00:26,"""CNR3376137""",Completed,"""CID7061321""",Auto,Lal Quila,Subhash Nagar,6.5,30.5,,,,,,,484.0,3.35,4.3,4.6,Debit Card,False,False,False,False,False,False,False,False,False,False,False,144.47761194029852,False,False,False,False,True
1083,2024-02-03,05:39:17,"""CNR1198096""",Completed,"""CID8086845""",Uber XL,Malviya Nagar,Ghitorni Village,2.5,36.2,,,,,,,1486.0,19.45,4.3,4.4,UPI,False,False,False,False,False,False,False,False,False,False,False,76.40102827763496,True,False,False,False,False
1085,2024-10-16,00:30:51,"""CNR8307585""",Completed,"""CID9492482""",Premier Sedan,Anand Vihar ISBT,Jama Masjid,5.6,22.5,,,,,,,854.0,2.15,4.3,4.9,Uber Wallet,False,False,False,False,False,False,False,False,False,False,False,397.2093023255814,False,False,False,False,True
1093,2024-07-26,18:53:57,"""CNR9614886""",Completed,"""CID1821022""",Auto,DLF Phase 3,Sultanpur,9.7,25.0,,,,,,,553.0,5.02,3.4,5.0,Credit Card,False,False,False,False,False,False,False,False,False,False,False,110.1593625498008,False,False,False,False,True
1098,2024-07-13,15:43:01,"""CNR6762189""",Completed,"""CID7839425""",Go Mini,India Gate,Hauz Khas,9.6,24.4,,,,,,,1088.0,7.24,4.8,4.3,Uber Wallet,False,False,False,False,False,False,False,False,False,False,False,150.27624309392266,False,False,False,False,True
1134,2024-04-17,11:43:48,"""CNR8842621""",Completed,"""CID8490992""",Go Mini,Anand Vihar,Vidhan Sabha,14.9,18.1,,,,,,,832.0,3.41,4.2,4.6,UPI,False,False,False,False,False,False,False,False,False,False,False,243.9882697947214,False,False,False,False,True
1149,2024-01-23,16:16:44,"""CNR8876033""",Completed,"""CID8559952""",Go Mini,Kashmere Gate ISBT,Mayur Vihar,3.6,38.0,,,,,,,855.0,6.11,3.8,4.2,Cash,False,False,False,False,False,False,False,False,False,False,False,139.9345335515548,False,False,False,False,True
1150,2024-12-17,22:33:25,"""CNR5745393""",Incomplete,"""CID4805616""",Go Mini,Kashmere Gate,Mehrauli,2.0,21.1,,,,,1.0,Other Issue,494.0,2.97,,,Debit Card,False,False,False,False,False,False,False,False,False,False,False,166.3299663299663,False,False,False,False,True
1168,2024-02-26,15:41:04,"""CNR5659221""",Completed,"""CID7389969""",Auto,Connaught Place,Ramesh Nagar,13.1,27.8,,,,,,,408.0,4.17,3.7,4.3,UPI,False,False,False,False,False,False,False,False,False,False,False,97.84172661870504,False,False,False,False,True
1174,2024-11-13,17:31:44,"""CNR4825679""",Completed,"""CID4709121""",eBike,South Extension,Subhash Nagar,6.9,32.3,,,,,,,1544.0,20.2,4.2,4.0,UPI,False,False,False,False,False,False,False,False,False,False,False,76.43564356435644,True,False,False,False,False
1246,2024-12-22,08:16:21,"""CNR3131454""",Completed,"""CID8718968""",Go Sedan,INA Market,Gurgaon Sector 56,10.0,41.1,,,,,,,1459.0,38.97,4.5,4.3,Credit Card,False,False,False,False,False,False,False,False,False,False,False,37.43905568385938,True,False,False,False,False
1259,2024-09-09,09:59:19,"""CNR5408466""",Completed,"""CID1868442""",Auto,Badshahpur,Faridabad Sector 15,9.2,20.4,,,,,,,956.0,7.0,4.7,4.1,Cash,False,False,False,False,False,False,False,False,False,False,False,136.57142857142858,False,False,False,False,True
1261,2024-02-14,10:46:31,"""CNR8311436""",Completed,"""CID5650687""",Auto,Jasola,Pitampura,11.0,37.7,,,,,,,352.0,2.65,4.3,4.2,Debit Card,False,False,False,False,False,False,False,False,False,False,False,132.83018867924528,False,False,False,False,True
1279,2024-08-02,17:22:18,"""CNR3360741""",Completed,"""CID6511674""",Bike,Rohini,Sadar Bazar Gurgaon,7.4,35.2,,,,,,,919.0,2.14,3.8,4.6,Cash,False,False,False,False,False,False,False,False,False,False,False,429.4392523364486,False,False,False,False,True
1290,2024-10-12,18:46:11,"""CNR7404881""",Completed,"""CID2753595""",Premier Sedan,Udyog Vihar Phase 4,Dwarka Mor,9.1,38.1,,,,,,,1461.0,44.3,4.4,5.0,Cash,False,False,False,False,False,False,False,False,False,False,False,32.979683972911964,True,False,False,False,False
1310,2024-09-07,11:24:58,"""CNR6103117""",Completed,"""CID7297645""",Auto,Udyog Vihar,Meerut,6.6,19.6,,,,,,,2060.0,29.61,4.6,4.3,Uber Wallet,False,False,False,False,False,False,False,False,False,False,False,69.57109084768659,True,False,False,False,False
1315,2024-09-21,07:18:41,"""CNR2663745""",Completed,"""CID7818797""",Auto,Faridabad Sector 15,Paschim Vihar,4.0,34.6,,,,,,,413.0,4.08,4.9,3.3,UPI,False,False,False,False,False,False,False,False,False,False,False,101.22549019607843,False,False,False,False,True
1319,2024-07-30,11:39:17,"""CNR6471732""",Incomplete,"""CID8604432""",Auto,Chandni Chowk,Gwal Pahari,7.4,27.5,,,,,1.0,Vehicle Breakdown,839.0,9.9,,,UPI,False,False,False,False,False,False,False,False,False,False,False,84.74747474747474,False,False,False,False,True
1332,2024-09-08,20:34:53,"""CNR7886440""",Completed,"""CID9017268""",Go Mini,Vatika Chowk,Mayur Vihar,6.9,15.9,,,,,,,3453.0,18.13,4.1,4.1,Cash,False,False,False,False,False,False,False,False,False,False,False,190.45780474351903,True,False,False,False,True
1338,2024-01-13,11:17:38,"""CNR8291409""",Completed,"""CID8280540""",Go Sedan,Indirapuram,Janakpuri,3.2,35.7,,,,,,,1384.0,24.35,4.6,4.8,Credit Card,False,False,False,False,False,False,False,False,False,False,False,56.83778234086242,True,False,False,False,False
1353,2024-06-25,00:12:53,"""CNR3968342""",Completed,"""CID4252629""",Bike,Basai Dhankot,Vishwavidyalaya,5.2,21.6,,,,,,,381.0,2.5,4.4,4.9,Credit Card,False,False,False,False,False,False,False,False,False,False,False,152.4,False,False,False,False,True
1372,2024-12-17,18:33:31,"""CNR3522211""",Completed,"""CID7824024""",Auto,Paschim Vihar,Greater Kailash,5.5,31.8,,,,,,,419.0,2.38,4.9,4.5,Credit Card,False,False,False,False,False,False,False,False,False,False,False,176.05042016806723,False,False,False,False,True
1377,2024-05-15,11:24:03,"""CNR7169526""",Completed,"""CID3831361""",Auto,Ardee City,AIIMS,10.1,34.9,,,,,,,1643.0,30.78,3.5,4.1,Uber Wallet,False,False,False,False,False,False,False,False,False,False,False,53.37881741390513,True,False,False,False,False
1391,2024-03-23,05:45:46,"""CNR1985687""",Completed,"""CID2439014""",Auto,Gurgaon Sector 56,Golf Course Road,7.7,43.2,,,,,,,1046.0,11.6,3.3,4.3,UPI,False,False,False,False,False,False,False,False,False,False,False,90.17241379310344,False,False,False,False,True
